imdb_id,production_cost
tt1596343,125000000.0
tt1690953,76000000.0
tt1091191,40000000.0
tt1895587,20000000.0
tt4550098,22500000.0
tt4972582,9000000.0
tt0829482,20000000.0
tt1119646,35000000.0
tt1210071,10000000.0
tt2112999,250000.0
tt2321513,380000.0
tt2883512,11000000.0
tt2170593,13000000.0
tt2361509,35000000.0
tt0454921,55000000.0
tt0455590,6000000.0
tt0490204,20000000.0
tt0469494,25000000.0
tt0903627,6000000.0
tt0419887,20000000.0
tt1078588,30000000.0
tt0814314,55000000.0
tt1205489,33000000.0
tt0469903,40000000.0
tt1129423,500000.0
tt0962736,35000000.0
tt0878804,29000000.0
tt0460611,6500000.0
tt1285016,40000000.0
tt1244754,12500000.0
tt0964517,25000000.0
tt0465407,2500000.0
tt1454029,25000000.0
tt1554091,10000000.0
tt1613062,4000000.0
tt1210166,50000000.0
tt1560747,32000000.0
tt1723811,6500000.0
tt1065073,4000000.0
tt1935179,10000000.0
tt1932767,6000000.0
tt1327773,25000000.0
tt2431286,12000000.0
tt1872194,50000000.0
tt2404181,10900000.0
tt2980648,22000000.0
tt2305051,15000000.0
tt2582802,3300000.0
tt1355630,11000000.0
tt3612616,4900000.0
tt3316960,5000000.0
tt3203606,15000000.0
tt2404425,11000000.0
tt0810819,15000000.0
tt3076658,37000000.0
tt4341582,15000000.0
tt3322364,35000000.0
tt4034228,9000000.0
tt3741834,12000000.0
tt4385888,7000000.0
tt2392830,8138338.0
tt4975722,4000000.0
tt4846340,25000000.0
tt4950110,1500000.0
