film_id,imdb_id,title,duration_minutes,year_released,genres,popularity,average_rating,production_cost,box_office_revenue,actor1,actor2,actor3,director,writer,production_company
239571,tt1972779,The Best of Me,117.0,2014,/dr//ro/,"8,196975",7.2,26000000.0,35926213,Michelle Monaghan,James Marsden,Liana Liberato,Michael Hoffman,Will Fetters,Relativity Media
241771,tt3125324,Beyond the Lights,116.0,2014,/dr//ro/,"6,293515",7.0,7000000.0,14618727,Gugu Mbatha-Raw,Nate Parker,Minnie Driver,Gina Prince-Bythewood,Gina Prince-Bythewood,Relativity Media
250124,tt3172532,The Diary of a Teenage Girl,98.0,2015,/dr//ro/,"14,986654",6.8,2000000.0,1477002,Bel Powley,Kristen Wiig,Alexander Skarsgård,Marielle Heller,Marielle Heller,Caviar Films
258480,tt2402927,Carol,118.0,2015,/dr//ro/,"8,364201",7.3,11800000.0,40272135,Cate Blanchett,Rooney Mara,Kyle Chandler,Todd Haynes,Phyllis Nagy,Killer Films
266856,tt2980516,The Theory of Everything,123.0,2014,/dr//ro/,"11,85302",7.8,15000000.0,123726688,Eddie Redmayne,Felicity Jones,Charlie Cox,James Marsh,Anthony McCarten,Working Title Films
292431,tt3774694,Love,134.0,2015,/dr//ro/,"2,328321",5.2,3000000.0,249083,Karl Glusman,Aomi Muyock,Klara Kristin,Gaspar Noé,Gaspar Noé,Wild Bunch
306745,tt1658801,Freeheld,103.0,2015,/dr//ro/,"4,955317",7.1,7000000.0,573335,Julianne Moore,Ellen Page,Steve Carell,Peter Sollett,Ron Nyswaner,Double Feature Films
314385,tt3707106,By the Sea,122.0,2015,/dr//ro/,"12,61223",5.4,10000000.0,3727746,Angelina Jolie,Brad Pitt,Mélanie Laurent,Angelina Jolie,Angelina Jolie,Plan B Entertainment
330483,tt3797868,The Choice,111.0,2016,/dr//ro/,"8,28378",6.7,10000000.0,18730891,Benjamin Walker,Teresa Palmer,Maggie Grace,Ross Katz,Bryan Sipe,Lionsgate
339419,tt4669986,Loving,123.0,2016,/dr//ro/,"7,977391",6.5,9000000.0,8996802,Joel Edgerton,Ruth Negga,Marton Csokas,Jeff Nichols,Jeff Nichols,Big Beach Films
345920,tt4682786,Collateral Beauty,97.0,2016,/dr//ro/,"14,575883",6.9,36000000.0,87416021,Will Smith,Edward Norton,Kate Winslet,David Frankel,Allan Loeb,New Line Cinema
375867,tt4429194,Paris Can Wait,92.0,2016,/dr//ro/,"8,966129",6.4,5000000.0,6700000,Diane Lane,Arnaud Viard,Alec Baldwin,Eleanor Coppola,Eleanor Coppola,American Zoetrope
350,tt0458352,The Devil Wears Prada,109.0,2006,/co//dr//ro/,"13,102384",7.0,35000000.0,326551094,Meryl Streep,Anne Hathaway,Emily Blunt,David Frankel,Aline Brosh McKenna,Twentieth Century Fox Film Corporation
1378,tt0367027,Shortbus,101.0,2006,/co//dr//ro/,"11,547748",6.3,2000000.0,5179037,Sook-Yin Lee,Paul Dawson,PJ DeBoy,John Cameron Mitchell,John Cameron Mitchell,Fortissimo Films
4564,tt1000774,Sex and the City,145.0,2008,/co//dr//ro/,"9,170332",6.0,65000000.0,415252786,Sarah Jessica Parker,Kim Cattrall,Cynthia Nixon,Michael Patrick King,Michael Patrick King,New Line Cinema
6615,tt0805564,Lars and the Real Girl,106.0,2007,/co//dr//ro/,"8,025118",7.1,12000000.0,11293663,Ryan Gosling,Emily Mortimer,Paul Schneider,Craig Gillespie,Nancy Oliver,Sidney Kimmel Entertainment
7211,tt0480242,Dan in Real Life,98.0,2007,/co//dr//ro/,"8,936547",6.5,25000000.0,68377859,Steve Carell,Juliette Binoche,Dane Cook,Peter Hedges,Peter Hedges,Touchstone Pictures
7326,tt0467406,Juno,96.0,2007,/co//dr//ro/,"11,791591",7.0,7500000.0,231411584,Ellen Page,Michael Cera,Jennifer Garner,Jason Reitman,Diablo Cody,Fox Searchlight Pictures
8952,tt1045772,I Love You Phillip Morris,98.0,2009,/co//dr//ro/,"5,773752",6.4,13000000.0,10652035,Jim Carrey,Ewan McGregor,Leslie Mann,Glenn Ficarra,Glenn Ficarra,EuropaCorp
8998,tt0436331,Friends with Money,88.0,2006,/co//dr//ro/,"8,869162",5.1,6500000.0,13368437,Catherine Keener,Jason Isaacs,Timm Sharp,Nicole Holofcener,Nicole Holofcener,Sony Pictures
9726,tt0401445,A Good Year,118.0,2006,/co//dr//ro/,"7,82187",6.5,35000000.0,42064105,Russell Crowe,Marion Cotillard,Albert Finney,Ridley Scott,,Fox 2000 Pictures
10184,tt1001508,He's Just Not That Into You,129.0,2009,/co//dr//ro/,"8,376094",6.2,40000000.0,177259441,Ben Affleck,Jennifer Aniston,Drew Barrymore,Ken Kwapis,Abby Kohn,New Line Cinema
12193,tt0369436,Four Christmases,88.0,2008,/co//dr//ro/,"7,210383",5.3,80000000.0,163733697,Vince Vaughn,Reese Witherspoon,Robert Duvall,Seth Gordon,Caleb Wilson,New Line Cinema
12404,tt1175506,Me and Orson Welles,114.0,2009,/co//dr//ro/,"3,600917",6.6,25000000.0,2336172,Zac Efron,Claire Danes,Christian McKay,Richard Linklater,Vincent Palmo Jr,Isle of Man Film
12572,tt0808399,"New York, I Love You",103.0,2008,/co//dr//ro/,"13,825651",5.7,14700000.0,8049666,Hayden Christensen,Andy García,Rachel Bilson,Natalie Portman,Natalie Portman,Vivendi Entertainment
12890,tt0858479,Smart People,95.0,2008,/co//dr//ro/,"3,756539",5.8,7000000.0,10569964,Dennis Quaid,Sarah Jessica Parker,Ellen Page,Noam Murro,Mark Poirier,Miramax Films
13067,tt0419843,In the Land of Women,97.0,2007,/co//dr//ro/,"9,351276",5.8,10000000.0,17500000,Meg Ryan,Kristen Stewart,Adam Brody,Jon Kasdan,Jon Kasdan,Castle Rock Entertainment
13092,tt0455538,How to Lose Friends & Alienate People,110.0,2008,/co//dr//ro/,"11,981531",6.2,27000000.0,17286299,Kelan Pannell,Janette Scott,Simon Pegg,Robert B Weide,Peter Straughan,UK Film Council
13243,tt0790623,Meet Bill,97.0,2007,/co//dr//ro/,"6,226054",5.9,5000000.0,346592,Aaron Eckhart,Jessica Alba,Elizabeth Banks,Bernie Goldmann,Melisa Wallack,Greenestreet Films
13668,tt0395495,Catch and Release,111.0,2006,/co//dr//ro/,"5,953413",5.8,25000000.0,16158487,Jennifer Garner,Timothy Olyphant,Kevin Smith,Susannah Grant,Susannah Grant,Columbia Pictures Corporation
13972,tt0430770,The Women,114.0,2008,/co//dr//ro/,"6,62363",4.6,16000000.0,50007546,Cloris Leachman,India Ennenga,Annette Bening,Diane English,,New Line Cinema
14055,tt0477095,Starter for 10,92.0,2006,/co//dr//ro/,"5,140016",6.7,8.0,21,James McAvoy,Alice Eve,Dominic Cooper,Tom Vaughan,David Nicholls,BBC Films
14467,tt0473367,Jaane Tu... Ya Jaane Na,155.0,2008,/co//dr//ro/,"1,970054",6.7,2300000.0,11100000,Imran Khan,Genelia D'Souza,Manjari Phadnis,Abbas Tyrewala,Abbas Tyrewala,PVR Cinemas
15019,tt0466839,I Could Never Be Your Woman,97.0,2007,/co//dr//ro/,"11,414893",5.7,24000000.0,9576495,Michelle Pfeiffer,Paul Rudd,Saoirse Ronan,Amy Heckerling,,Scott Rudin Productions
16555,tt0778661,Daddy's Little Girls,100.0,2007,/co//dr//ro/,"6,063809",6.6,10000000.0,31609243,Gabrielle Union,Idris Elba,"Louis Gossett, Jr",Tyler Perry,Tyler Perry,Lions Gate Films
16781,tt0455612,Madea's Family Reunion,110.0,2006,/co//dr//ro/,"4,304175",6.0,6000000.0,57231524,Tyler Perry,Blair Underwood,Lynn Whitfield,Tyler Perry,Tyler Perry,Lions Gate Films
18240,tt1041829,The Proposal,108.0,2009,/co//dr//ro/,"8,058337",6.7,40000000.0,317375031,Sandra Bullock,Ryan Reynolds,Mary Steenburgen,Anne Fletcher,Pete Chiarelli,Touchstone Pictures
19255,tt1176740,Away We Go,98.0,2009,/co//dr//ro/,"6,590093",6.7,17000000.0,14899417,John Krasinski,Maya Rudolph,Carmen Ejogo,Sam Mendes,Dave Eggers,Neal Street Productions
19913,tt1022603,(500) Days of Summer,95.0,2009,/co//dr//ro/,"16,376657",7.2,7500000.0,60722734,Joseph Gordon-Levitt,Zooey Deschanel,Chloë Grace Moretz,Marc Webb,Scott Neustadter,Fox Searchlight Pictures
